{'train_acc_eval_mode': 0.7803499793012937, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.7804999798536301, 'test_acc_train_mode': 0.7804999798536301}
{'train_acc_eval_mode': 0.8086833121379217, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.8088999795913696, 'test_acc_train_mode': 0.8088999795913696}
{'train_acc_eval_mode': 0.8842999805013338, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.8836999785900116, 'test_acc_train_mode': 0.8836999785900116}
{'train_acc_eval_mode': 0.8913499801357587, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.8852999776601791, 'test_acc_train_mode': 0.8852999776601791}
{'train_acc_eval_mode': 0.9031666475534439, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.8958999812602997, 'test_acc_train_mode': 0.8958999812602997}
{'train_acc_eval_mode': 0.9089166476329168, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9000999802350997, 'test_acc_train_mode': 0.9000999802350997}
{'train_acc_eval_mode': 0.9180666480461757, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9118999755382537, 'test_acc_train_mode': 0.9118999755382537}
{'train_acc_eval_mode': 0.9228666485349337, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9157999783754349, 'test_acc_train_mode': 0.9157999783754349}
{'train_acc_eval_mode': 0.9277999835213026, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.919999977350235, 'test_acc_train_mode': 0.919999977350235}
{'train_acc_eval_mode': 0.8982499806086223, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.8957999783754349, 'test_acc_train_mode': 0.8957999783754349}
{'train_acc_eval_mode': 0.9260999817649523, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9207999789714814, 'test_acc_train_mode': 0.9207999789714814}
{'train_acc_eval_mode': 0.912316648264726, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9065999799966812, 'test_acc_train_mode': 0.9065999799966812}
{'train_acc_eval_mode': 0.9084999810655912, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9059999787807465, 'test_acc_train_mode': 0.9059999787807465}
{'train_acc_eval_mode': 0.9187666501601537, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9149999821186066, 'test_acc_train_mode': 0.9149999821186066}
{'train_acc_eval_mode': 0.9212499822179476, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9152999806404114, 'test_acc_train_mode': 0.9152999806404114}
{'train_acc_eval_mode': 0.9211499817172686, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9157999771833419, 'test_acc_train_mode': 0.9157999771833419}
{'train_acc_eval_mode': 0.9274499822656314, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9209999763965606, 'test_acc_train_mode': 0.9209999763965606}
{'train_acc_eval_mode': 0.9379166500767072, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9291999793052673, 'test_acc_train_mode': 0.9291999793052673}
{'train_acc_eval_mode': 0.9328499829769135, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9287999784946441, 'test_acc_train_mode': 0.9287999784946441}
{'train_acc_eval_mode': 0.9317666495839755, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9240999805927277, 'test_acc_train_mode': 0.9240999805927277}
{'train_acc_eval_mode': 0.9410499823093414, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9307999765872955, 'test_acc_train_mode': 0.9307999765872955}
