iteration:   0%|                         | 995/200000 [00:21<1:09:31, 47.70it/s]{'train_acc_eval_mode': 0.9330666496356328, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9328999769687653, 'test_acc_train_mode': 0.9425999790430069}
iteration:   1%|▏                       | 1996/200000 [00:49<1:07:31, 48.87it/s]{'train_acc_eval_mode': 0.958416644235452, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9520999819040299, 'test_acc_train_mode': 0.964999976158142}
iteration:   1%|▎                       | 2996/200000 [01:18<1:08:28, 47.96it/s]{'train_acc_eval_mode': 0.971166636645794, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9620999783277512, 'test_acc_train_mode': 0.971999979019165}
iteration:   2%|▍                       | 3996/200000 [01:47<1:08:00, 48.04it/s]{'train_acc_eval_mode': 0.9808999669551849, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9698999780416488, 'test_acc_train_mode': 0.9763999772071839}
iteration:   2%|▌                       | 4996/200000 [02:16<1:08:06, 47.72it/s]{'train_acc_eval_mode': 0.9854166356722514, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9728999769687653, 'test_acc_train_mode': 0.9787999761104583}
iteration:   3%|▋                       | 5996/200000 [02:45<1:07:20, 48.01it/s]{'train_acc_eval_mode': 0.9909999723235766, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9758999758958816, 'test_acc_train_mode': 0.9796999740600586}
iteration:   3%|▊                       | 6996/200000 [03:13<1:08:38, 46.86it/s]{'train_acc_eval_mode': 0.9921333092451096, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.977299976348877, 'test_acc_train_mode': 0.9803999757766724}
iteration:   4%|▉                       | 7996/200000 [03:42<1:06:40, 47.99it/s]{'train_acc_eval_mode': 0.9947166471680006, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9778999751806259, 'test_acc_train_mode': 0.9810999751091003}
iteration:   4%|█                       | 8996/200000 [04:11<1:05:55, 48.29it/s]{'train_acc_eval_mode': 0.9954333153367042, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9793999761343002, 'test_acc_train_mode': 0.9813999754190444}
iteration:   5%|█▏                      | 9996/200000 [04:39<1:05:51, 48.08it/s]{'train_acc_eval_mode': 0.9969333203633627, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9784999752044677, 'test_acc_train_mode': 0.9814999735355378}
iteration:   5%|█▎                     | 10996/200000 [05:08<1:05:39, 47.97it/s]{'train_acc_eval_mode': 0.9973666548728943, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9800999748706818, 'test_acc_train_mode': 0.9825999754667282}
iteration:   6%|█▍                     | 11996/200000 [05:36<1:04:59, 48.22it/s]{'train_acc_eval_mode': 0.9984166593352953, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9804999738931656, 'test_acc_train_mode': 0.9821999734640121}
iteration:   6%|█▍                     | 12996/200000 [06:05<1:04:25, 48.38it/s]{'train_acc_eval_mode': 0.9985833271344503, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.980599974989891, 'test_acc_train_mode': 0.9828999751806259}
iteration:   7%|█▌                     | 13996/200000 [06:34<1:03:55, 48.49it/s]{'train_acc_eval_mode': 0.9990499954422315, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9810999739170074, 'test_acc_train_mode': 0.9827999740839004}
iteration:   7%|█▋                     | 14996/200000 [07:02<1:04:07, 48.08it/s]{'train_acc_eval_mode': 0.9992499963442485, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.981399974822998, 'test_acc_train_mode': 0.9836999756097794}
iteration:   8%|█▊                     | 15996/200000 [07:31<1:03:39, 48.18it/s]{'train_acc_eval_mode': 0.9988833280404409, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9812999737262725, 'test_acc_train_mode': 0.9836999744176864}
iteration:   8%|█▉                     | 16996/200000 [07:59<1:03:41, 47.89it/s]{'train_acc_eval_mode': 0.9991499957442284, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9817999744415283, 'test_acc_train_mode': 0.9840999746322632}
iteration:   9%|██                     | 17996/200000 [08:28<1:03:05, 48.08it/s]{'train_acc_eval_mode': 0.9992499965429306, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9810999745130539, 'test_acc_train_mode': 0.9827999752759934}
iteration:   9%|██▏                    | 18996/200000 [08:56<1:02:32, 48.24it/s]{'train_acc_eval_mode': 0.9990333287914595, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9815999734401702, 'test_acc_train_mode': 0.9836999744176864}
iteration:  10%|██▎                    | 19996/200000 [09:25<1:03:02, 47.59it/s]{'train_acc_eval_mode': 0.9994833308458329, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9818999737501144, 'test_acc_train_mode': 0.9835999757051468}
iteration:  10%|██▍                    | 20996/200000 [09:53<1:03:29, 46.99it/s]{'train_acc_eval_mode': 0.9996833317478497, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9825999736785889, 'test_acc_train_mode': 0.9837999755144119}
iteration:  11%|██▌                    | 21996/200000 [10:22<1:01:55, 47.91it/s]{'train_acc_eval_mode': 0.9997499987483025, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9831999742984772, 'test_acc_train_mode': 0.9842999756336213}
iteration:  11%|██▋                    | 22996/200000 [10:51<1:01:07, 48.26it/s]{'train_acc_eval_mode': 0.9997333319981893, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9833999747037887, 'test_acc_train_mode': 0.9837999749183655}
iteration:  12%|██▊                    | 23996/200000 [11:19<1:00:34, 48.42it/s]{'train_acc_eval_mode': 0.9996833317478497, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9836999726295471, 'test_acc_train_mode': 0.983799974322319}
iteration:  12%|██▊                    | 24997/200000 [11:48<1:00:17, 48.38it/s]{'train_acc_eval_mode': 0.9998333324988683, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9834999746084213, 'test_acc_train_mode': 0.9841999751329422}
iteration:  13%|██▉                    | 25997/200000 [12:16<1:00:17, 48.10it/s]{'train_acc_eval_mode': 0.9997666654984156, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9835999745130539, 'test_acc_train_mode': 0.9840999746322632}
iteration:  13%|███▎                     | 26999/200000 [12:45<59:11, 48.71it/s]{'train_acc_eval_mode': 0.9998166657487552, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9829999750852585, 'test_acc_train_mode': 0.9842999756336213}
iteration:  14%|███▍                     | 27995/200000 [13:13<59:44, 47.99it/s]{'train_acc_eval_mode': 0.9998166657487552, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.982899973988533, 'test_acc_train_mode': 0.9844999754428864}
iteration:  14%|███▌                     | 28996/200000 [13:42<58:45, 48.51it/s]{'train_acc_eval_mode': 0.9998166657487552, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.984099975824356, 'test_acc_train_mode': 0.9842999750375747}
iteration:  15%|███▋                     | 29996/200000 [14:10<58:33, 48.38it/s]{'train_acc_eval_mode': 0.9999166662494342, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9833999741077423, 'test_acc_train_mode': 0.9843999749422073}
iteration:  15%|███▊                     | 30996/200000 [14:39<58:54, 47.82it/s]{'train_acc_eval_mode': 0.999899999499321, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.983099976181984, 'test_acc_train_mode': 0.9845999747514724}
iteration:  16%|███▉                     | 31996/200000 [15:07<58:38, 47.75it/s]{'train_acc_eval_mode': 0.9998833327492078, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9834999769926072, 'test_acc_train_mode': 0.984599975347519}
iteration:  16%|████                     | 32996/200000 [15:36<57:44, 48.21it/s]{'train_acc_eval_mode': 0.9999166662494342, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9836999756097794, 'test_acc_train_mode': 0.9847999751567841}
iteration:  17%|████▏                    | 33996/200000 [16:05<57:40, 47.97it/s]{'train_acc_eval_mode': 0.999899999499321, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9833999758958817, 'test_acc_train_mode': 0.9841999751329422}
iteration:  17%|████▎                    | 34996/200000 [16:33<57:36, 47.74it/s]{'train_acc_eval_mode': 0.9998833327492078, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9832999747991562, 'test_acc_train_mode': 0.9839999747276306}
iteration:  18%|████▍                    | 35996/200000 [17:01<56:53, 48.04it/s]{'train_acc_eval_mode': 0.9999166662494342, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9839999759197235, 'test_acc_train_mode': 0.9845999759435654}
iteration:  18%|████▌                    | 36996/200000 [17:30<56:14, 48.31it/s]{'train_acc_eval_mode': 0.9999499997496605, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9832999765872955, 'test_acc_train_mode': 0.984099975824356}
iteration:  19%|████▋                    | 37996/200000 [17:58<56:10, 48.07it/s]{'train_acc_eval_mode': 0.9999333329995473, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9835999757051468, 'test_acc_train_mode': 0.984099975824356}
iteration:  19%|████▊                    | 38996/200000 [18:27<55:33, 48.30it/s]{'train_acc_eval_mode': 0.9998666659990947, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9832999747991562, 'test_acc_train_mode': 0.9840999752283096}
iteration:  20%|████▉                    | 39996/200000 [18:55<55:02, 48.45it/s]{'train_acc_eval_mode': 0.999899999499321, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9836999762058258, 'test_acc_train_mode': 0.9838999754190445}
iteration:  20%|█████                    | 40996/200000 [19:24<56:21, 47.02it/s]{'train_acc_eval_mode': 0.999899999499321, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9835999763011932, 'test_acc_train_mode': 0.9838999754190445}
iteration:  21%|█████▏                   | 41996/200000 [19:52<54:51, 48.00it/s]{'train_acc_eval_mode': 0.999899999499321, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.9839999771118164, 'test_acc_train_mode': 0.9839999753236771}
iteration:  21%|█████▎                   | 42996/200000 [20:21<54:33, 47.97it/s]{'train_acc_eval_mode': 0.9999499997496605, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.98399997651577, 'test_acc_train_mode': 0.9839999747276306}
